,article_id,authorId,name,url,Publicationcount,Rank
0,10.1145/511285.511286,1777876,Jack Minker,https://www.semanticscholar.org/author/1777876,252,1
1,10.1145/511285.511286,144890509,Sam Rosenfeld,https://www.semanticscholar.org/author/144890509,7,2
2,10.1145/511285.511288,2523724,Milos Pacak,https://www.semanticscholar.org/author/2523724,18,1
3,10.1145/511285.511288,2641020,Arnold W. Pratt,https://www.semanticscholar.org/author/2641020,48,2
4,10.1145/511285.511289,1401061734,Bozena Henisz-Dostert,https://www.semanticscholar.org/author/1401061734,13,1
5,10.1145/511285.511289,3299116,Frederick B. Thompson,https://www.semanticscholar.org/author/3299116,58,2
6,10.1145/511285.511290,145433144,Charles Kellogg,https://www.semanticscholar.org/author/145433144,30,1
7,10.1145/511285.511290,5416402,John D. Burger,https://www.semanticscholar.org/author/5416402,102,2
8,10.1145/511285.511290,40189470,Timothy Diller,https://www.semanticscholar.org/author/40189470,14,3
9,10.1145/511285.511290,33349506,Kenneth Fogt,https://www.semanticscholar.org/author/33349506,3,4
10,10.1145/511285.511292,2616848,David B. Loveman,https://www.semanticscholar.org/author/2616848,33,1
11,10.1145/511285.511292,35022826,John A. Moyne,https://www.semanticscholar.org/author/35022826,17,2
12,10.1145/511285.511292,32215674,Robert G. Tobey,https://www.semanticscholar.org/author/32215674,16,3
13,10.1145/511285.511293,2742115,Yaacov Choueka,https://www.semanticscholar.org/author/2742115,50,1
14,10.1145/511285.511293,153291948,M. Cohen,https://www.semanticscholar.org/author/153291948,60,2
15,10.1145/511285.511293,143893910,J. Dueck,https://www.semanticscholar.org/author/143893910,7,3
16,10.1145/511285.511293,1793371,Aviezri S. Fraenkel,https://www.semanticscholar.org/author/1793371,240,4
17,10.1145/511285.511293,48716524,M. Slae,https://www.semanticscholar.org/author/48716524,2,5
18,10.1145/511285.511295,144780353,J. L. Kuhn,https://www.semanticscholar.org/author/144780353,29,1
19,10.1145/511285.511296,2766114,Robert A. Di Paola,https://www.semanticscholar.org/author/2766114,16,1
20,10.1145/511285.511298,1728099,Stanley Y. W. Su,https://www.semanticscholar.org/author/1728099,230,1
21,10.1145/511285.511299,40481777,Earl Hunt,https://www.semanticscholar.org/author/40481777,233,1
22,10.1145/511285.511299,2600443,Gary A. Kildall,https://www.semanticscholar.org/author/2600443,6,2
23,10.1145/511285.511300,31503428,Anthony J. Winkler,https://www.semanticscholar.org/author/31503428,16,1
24,10.1145/511285.511300,144767848,Alfred G. Dale,https://www.semanticscholar.org/author/144767848,53,2
25,10.1145/511285.511302,1957215,Daniel Teichroew,https://www.semanticscholar.org/author/1957215,55,1
26,10.1145/511285.511303,30976170,C. P. Wang,https://www.semanticscholar.org/author/30976170,73,1
27,10.1145/511285.511303,1800215,Vincent Y. Lum,https://www.semanticscholar.org/author/1800215,89,2
28,10.1145/511285.511304,47637497,Richard A. Gustafson,https://www.semanticscholar.org/author/47637497,20,1
29,10.1145/511285.511305,35010761,Gary D. Knott,https://www.semanticscholar.org/author/35010761,77,1
30,10.1145/511285.511307,40606611,A. M. Katcher,https://www.semanticscholar.org/author/40606611,5,1
31,10.1145/511285.511308,16999370,James E. Mulford,https://www.semanticscholar.org/author/16999370,1,1
32,10.1145/511285.511308,16714409,Richard K. Ridall,https://www.semanticscholar.org/author/16714409,1,2
33,10.1145/511285.511309,36475626,David M. Jackson,https://www.semanticscholar.org/author/36475626,157,1
34,10.1145/511285.511311,3259367,James S. Albus,https://www.semanticscholar.org/author/3259367,196,1
35,10.1145/511285.511311,32275355,Jeffrey Yeh,https://www.semanticscholar.org/author/32275355,19,2
36,10.1145/511706.511707,1797808,Gerard Salton,https://www.semanticscholar.org/author/1797808,342,1
