Title,background,method,result,"background,method","background,result","method,result","method,result,background",isInfluential,TotalCitationCount,Year
Neural-Network Lexical Translation for Cross-lingual IR from Text and Speech,22,5,0,5,0,0,0,0,33,2019
Investigating Passage-level Relevance and Its Role in Document-level Relevance Judgment,20,0,0,0,0,0,0,100,20,2019
"Information Needs, Queries, and Query Performance Prediction",5,5,0,5,0,0,0,150,15,2019
Asking Clarifying Questions in Open-Domain Information-Seeking Conversations,0,12,0,0,0,0,0,0,12,2019
Enhanced News Retrieval: Passages Lead the Way!,6,6,0,0,0,0,0,0,12,2019
Parrot: A Python-based Interactive Platform for Information Retrieval Research,10,0,0,0,0,0,0,0,10,2019
"Statistical Significance Testing in Information Retrieval: An Empirical Analysis of Type I, Type II and Type III Errors",3,3,0,3,0,0,0,0,9,2019
Dynamic Sampling Meets Pooling,0,0,0,8,0,0,0,0,8,2019
Why do Users Issue Good Queries?: Neural Correlates of Term Specificity,4,4,0,0,0,0,0,0,8,2019
Generic Intent Representation in Web Search,7,0,0,0,0,0,0,49,7,2019
A Capsule Network for Recommendation and Explaining What You Like and Dislike,6,0,0,0,0,0,0,0,6,2019
Addressing Vocabulary Gap in E-commerce Search,6,0,0,0,0,0,0,0,6,2019
Hierarchical Matching Network for Crime Classification,0,6,0,0,0,0,0,0,6,2019
Multi-view Embedding-based Synonyms for Email Search,6,0,0,0,0,0,0,0,6,2019
Quantifying and Alleviating the Language Prior Problem in Visual Question Answering,6,0,0,0,0,0,0,0,6,2019
TrecTools: an Open-source Python Library for Information Retrieval Practitioners Involved in TREC-like Campaigns,0,6,0,0,0,0,0,0,6,2019
Outline Generation: Understanding the Inherent Content Structure of Documents,5,0,0,0,0,0,0,0,5,2019
Warm Up Cold-start Advertisements: Improving CTR Predictions via Learning to Learn ID Embeddings,0,5,0,0,0,0,0,0,5,2019
Help Me Search: Leveraging User-System Collaboration for Query Construction to Improve Accuracy for Difficult Queries,0,4,0,0,0,0,0,0,4,2019
On the Effect of Low-Frequency Terms on Neural-IR Models,4,0,0,0,0,0,0,0,4,2019
Automatic Task Completion Flows from Web APIs,0,3,0,0,0,0,0,0,3,2019
Context Attentive Document Ranking and Query Suggestion,0,3,0,0,0,0,0,0,3,2019
Selecting Discriminative Terms for Relevance Model,0,3,0,0,0,0,0,9,3,2019
An Open-Access Platform for Transparent and Reproducible Structured Searching,2,0,0,0,0,0,0,0,2,2019
From Query Variations To Learned Relevance Modeling,2,0,0,0,0,0,0,0,2,2019
Learning More From Less: Towards Strengthening Weak Supervision for Ad-Hoc Retrieval,0,2,0,0,0,0,0,0,2,2019
Multiple Query Processing via Logic Function Factoring,0,0,0,0,0,0,0,0,2,2019
